Customer_ID,Age,Income,Employment_Type,Credit_Score,DTI,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Region,Branch,Previous_Defaults,Late_Payments,Outstanding_Amount,Days_Past_Due,Loan_Status,Application_Date,Payment_Date
119135,28,34500.0,Salaried,622.0,34.7,Credit Card,279000.0,6.8,180,North,Delhi,0,2,45300.0,1,Delinquent,2022-04-27,2022-11-09
101965,47,51900.0,Retired,611.0,17.4,Business Loan,1730000.0,14.22,36,South,Hyderabad,0,1,0.0,0,Closed,2021-08-27,2023-10-24
110726,31,53200.0,Salaried,684.0,14.2,Business Loan,895000.0,14.54,36,South,Hyderabad,0,1,257800.0,0,Active,2023-10-23,2025-10-11
119319,42,55000.0,Salaried,617.0,57.2,Auto Loan,661000.0,15.71,180,North,Chandigarh,2,3,251800.0,0,Active,2021-08-03,2022-08-29
102263,55,39600.0,Salaried,642.0,9.0,Personal Loan,352000.0,7.59,84,North,Lucknow,0,2,129900.0,0,Active,2021-02-04,2021-05-31
105495,45,30600.0,Self-Employed,596.0,45.0,Home Loan,2211000.0,6.71,24,East,Kolkata,0,1,2022700.0,0,Active,2024-06-18,2025-11-29
105142,46,60000.0,Salaried,562.0,8.4,Business Loan,1461000.0,8.85,84,North,Delhi,0,3,656800.0,0,Active,2024-04-08,2024-10-18
102212,47,63200.0,Unemployed,480.0,49.2,Personal Loan,483000.0,13.0,240,Central,Bhopal,2,2,442700.0,0,Active,2021-06-03,2021-07-07
106975,56,40300.0,Salaried,686.0,65.6,Auto Loan,886000.0,,240,West,Mumbai,0,2,0.0,0,Closed,2023-07-08,2025-12-16
102896,75,32700.0,Self-Employed,655.0,38.9,Business Loan,476000.0,12.94,120,East,Kolkata,2,2,414100.0,0,Active,2021-09-15,2022-12-05
101827,27,24700.0,Business Owner,731.0,35.7,Home Loan,2400000.0,16.39,48,Central,Bhopal,0,1,0.0,0,Closed,2022-02-14,2022-06-20
105511,42,46900.0,Self-Employed,611.0,31.2,Auto Loan,1014000.0,6.0,12,West,Ahmedabad,0,3,0.0,0,Closed,2022-05-27,2023-11-15
118829,18,43600.0,Self-Employed,744.0,75.8,Auto Loan,3320840.566471502,14.67,24,East,Bhubaneswar,0,1,435800.0,0,Active,2021-02-02,2022-09-07
114172,58,119800.0,Self-Employed,629.0,33.3,Education Loan,1047000.0,10.93,12,West,Pune,1,1,0.0,0,Closed,2024-10-29,2025-02-26
110271,36,20300.0,Salaried,726.0,45.7,Auto Loan,1064000.0,11.46,12,West,Ahmedabad,2,0,394500.0,0,Active,2023-07-10,2023-10-06
119628,39,86900.0,Salaried,833.0,22.1,Credit Card,139000.0,12.08,120,North,Delhi,0,1,71600.0,0,Active,2022-11-22,2024-07-17
101234,71,57800.0,Salaried,569.0,26.1,Business Loan,571000.0,12.47,120,North,Chandigarh,0,0,106700.0,0,Active,2024-10-20,2025-10-19
109348,49,76800.0,Unemployed,698.0,44.2,Business Loan,2333000.0,11.04,24,Central,Bhopal,0,2,1338900.0,0,Active,2021-10-28,2023-07-24
101738,27,33300.0,Self-Employed,811.0,32.8,Personal Loan,343000.0,10.42,84,SOUTH ,Chennai,0,1,181900.0,61,Default,2021-12-31,2023-02-07
112559,27,62800.0,Salaried,601.0,22.7,Education Loan,544000.0,14.95,84,North,Chandigarh,0,2,0.0,0,Closed,2023-06-23,2025-09-11
113163,42,35800.0,Self-Employed,880.0,,Personal Loan,563000.0,16.69,180,West,Pune,0,0,468600.0,0,Active,2023-08-19,2024-12-11
116970,47,,Salaried,523.0,,Home Loan,3641000.0,13.21,84,North,Chandigarh,0,3,1967100.0,0,Active,2021-11-29,2023-03-05
114319,47,25800.0,Salaried,653.0,35.3,Credit Card,181000.0,7.47,84,East,Bhubaneswar,0,3,0.0,0,Closed,2021-07-24,2022-04-23
102889,35,86400.0,Salaried,675.0,64.3,Home Loan,3574000.0,15.81,84,East,Kolkata,0,0,2968500.0,0,Active,2022-03-01,2023-09-23
107169,53,74400.0,Business Owner,544.0,55.4,Business Loan,2403000.0,8.69,120,Central,Nagpur,0,1,1833400.0,51,Default,03-02-2024,2024-07-02
118748,45,72000.0,Salaried,712.0,28.0,Auto Loan,879000.0,9.33,24,Central,Nagpur,0,0,743900.0,0,Active,2022-12-05,2023-08-25
118791,52,39200.0,Salaried,790.0,56.4,Education Loan,1040000.0,10.25,48,South,Bengaluru,0,0,0.0,0,Closed,2022-03-29,2023-07-29
107434,29,91500.0,Salaried,622.0,11.6,Auto Loan,1079000.0,12.09,24,North,Lucknow,0,1,555500.0,0,Active,2021-04-24,2021-11-09
101601,38,85900.0,Retired,660.0,40.0,Home Loan,3283000.0,14.43,180,West,Ahmedabad,0,0,1792500.0,0,Active,30-Sep-2023,2024-05-30
101824,32,91900.0,Business Owner,633.0,,Auto Loan,815000.0,,240,East,Kolkata,0,5,308000.0,0,Active,2022-01-25,2022-11-09
101777,33,43800.0,Unemployed,765.0,46.1,Home Loan,2896000.0,14.3,24,West,Mumbai,0,1,1926000.0,0,Active,2024-07-21,2025-12-23
121010,64,168200.0,Salaried,616.0,32.9,Education Loan,644000.0,13.57,84,North,Delhi,0,0,430100.0,0,Active,2021-01-11,2021-07-27
105024,21,64600.0,Business Owner,515.0,47.6,Home Loan,3950000.0,12.76,12,North,Delhi,0,1,3039000.0,0,Active,2022-10-07,2024-05-03
111340,46,68900.0,Self-Employed,627.0,56.5,Education Loan,1428000.0,14.87,48,South,Chennai,0,2,156200.0,0,Active,2024-03-18,2024-05-16
104280,44,39600.0,Business Owner,671.0,28.9,Education Loan,316000.0,9.73,120,East,Kolkata,0,0,273400.0,0,Active,2024-06-23,2025-10-22
105858,34,17000.0,Salaried,642.0,37.5,Home Loan,2432000.0,15.0,240,East,Patna,0,2,1460400.0,0,Active,2021-06-20,2021-07-29
102303,35,54700.0,Salaried,,51.9,Home Loan,972000.0,15.32,180,South,Chennai,0,0,767800.0,0,Active,2021-02-24,2023-04-10
119254,37,45100.0, Self Employed ,656.0,39.5,Credit Card,62000.0,6.0,24,central,Raipur,0,0,47500.0,0,Active,2022-02-17,2022-06-01
100629,41,48400.0,Unemployed,555.0,71.0,Personal Loan,334000.0,7.58,84,West,Pune,2,1,159500.0,0,Active,2021-12-16,2023-03-28
114167,45,22700.0,Business Owner,738.0,22.5,Auto Loan,620000.0,9.37,84,Central,Bhopal,0,1,239900.0,0,Active,2021-02-25,2022-12-22
100845,42,28100.0,Self-Employed,755.0,38.7,Education Loan,378000.0,7.03,24,West,Mumbai,2,1,0.0,0,Closed,2021-06-07,2023-09-22
121200,39,104600.0,Salaried,583.0,41.2,Education Loan,718000.0,12.54,60,South,Bengaluru,0,0,479600.0,39,Default,2024-01-01,2025-07-25
113193,34,76800.0,Salaried,612.0,29.8,Personal Loan,271000.0,8.26,12,North,Lucknow,0,1,0.0,0,Closed,2022-08-18,2024-05-25
110944,36,38100.0,Salaried,750.0,47.8,Credit Card,218000.0,6.0,60,SOUTH ,Hyderabad,2,1,65300.0,0,Active,2022-07-17,2023-03-04
115951,43,58300.0,Salaried,648.0,33.1,Home Loan,3004000.0,7.43,120,Central,Nagpur,0,0,2321700.0,0,Active,2023-12-16,2025-11-26
113869,48,110900.0,Salaried,749.0,46.9,Credit Card,99000.0,7.93,24,East,Patna,0,2,0.0,0,Closed,2024-02-20,2025-03-29
109055,19,44400.0,Business Owner,553.0,72.9,Credit Card,225000.0,10.19,12,East,Bhubaneswar,0,1,65700.0,0,Active,2022-01-28,2022-11-03
108845,45,63700.0,Business Owner,594.0,22.5,Personal Loan,364000.0,15.51,36,North,Chandigarh,0,2,0.0,0,Closed,2023-11-23,2025-07-26
118581,46,72100.0,Business Owner,677.0,36.8,Credit Card,133000.0,12.74,120,West,Pune,0,3,34000.0,0,Active,2024-01-01,2024-12-14
110358,18,58400.0,Business Owner,598.0,55.7,Education Loan,1516000.0,13.68,120,South,Chennai,2,2,0.0,0,Closed,2022-03-22,2022-12-19
108205,35,61300.0,Salaried,627.0,39.1,Auto Loan,828000.0,9.07,48,Central,Raipur,0,2,391900.0,0,Active,2023-07-02,2024-09-28
106314,47,39500.0,Retired,663.0,26.1,Education Loan,936000.0,11.8,240,West,Mumbai,0,1,338800.0,0,Active,2021-07-09,2022-08-21
100503,23,102200.0,,803.0,17.1,Home Loan,2535000.0,11.87,36,East,Kolkata,0,0,0.0,0,Closed,2022-06-19,2023-11-15
107974,34,99600.0,Business Owner,580.0,55.7,Education Loan,1093000.0,19.19,36,North,Lucknow,0,0,432500.0,0,Active,2023-08-02,2024-05-14
118956,35,64300.0,Salaried,726.0,53.5,Auto Loan,623000.0,15.78,24,West,Mumbai,0,2,350800.0,0,Active,2024-02-02,2024-05-15
120989,34,65700.0,Salaried,684.0,60.9,Credit Card,131000.0,14.15,240,Central,Bhopal,0,3,110000.0,0,Active,2022-03-18,2022-08-17
102782,32,23100.0,Self-Employed,578.0,54.5,Auto Loan,611000.0,11.5,12,Central,Bhopal,0,3,322400.0,0,Active,2021-07-19,2023-06-01
121244,35,19700.0,Self-Employed,669.0,51.7,Auto Loan,558000.0,16.96,12,Central,Bhopal,0,1,347400.0,0,ACTIVE,2023-09-25,2025-06-20
118757,53,46800.0,Unemployed,460.0,50.0,Credit Card,47000.0,10.58,120,Central,Bhopal,0,0,19800.0,0,Active,2023-02-19,2023-12-06
116697,40,55900.0,Salaried,606.0,30.7,Personal Loan,104000.0,11.44,12,Central,Raipur,0,2,17400.0,13,Delinquent,2023-09-17,2024-11-06
118921,40,,Salaried,522.0,32.0,Education Loan,833000.0,17.83,240,East,Patna,0,0,334100.0,28,Delinquent,2022-06-02,2023-01-12
119696,40,39600.0,Business Owner,616.0,32.5,Personal Loan,637000.0,9.26,180,East,Bhubaneswar,0,1,281700.0,0,Active,2022-04-23,2023-04-14
118118,45,24600.0,Salaried,,28.5,Auto Loan,627000.0,12.38,36,North,Delhi,0,1,0.0,0,CLOSED,2022-05-27,2023-12-12
113644,24,33700.0,Unemployed,656.0,16.7,Home Loan,3597000.0,10.64,48,North,Delhi,0,2,1132700.0,0,Active,2021-01-09,2022-09-20
119987,27,70900.0,Salaried,539.0,29.1,Personal Loan,210000.0,14.81,48,Central,Nagpur,1,0,107200.0,0,Active,2021-12-06,2022-02-12
118042,18,45900.0,Salaried,593.0,33.0,Home Loan,2442000.0,14.47,48,East,Patna,0,2,1456600.0,9,Delinquent,2024-02-29,2024-11-25
117313,49,52600.0,Salaried,741.0,37.3,Education Loan,1268000.0,8.1,120,North,Chandigarh,1,0,454800.0,0,Active,2022-03-19,2024-04-25
106494,48,34600.0,Salaried,509.0,23.3,Personal Loan,248000.0,7.7,240,South,Bengaluru,1,1,58700.0,0,Active,2022-11-04,2023-08-14
119615,51,46100.0,Salaried,531.0,56.1,Credit Card,92000.0,7.67,240,East,Patna,0,0,46200.0,0,Active,2024-09-15,2026-08-22
103220,49,208600.0,Salaried,617.0,41.1,Credit Card,109000.0,7.42,120,North,Lucknow,0,0,26200.0,0,active,2023-07-24,2025-09-18
111325,46,48600.0,Self-Employed,621.0,13.9,Personal Loan,238000.0,12.49,120,East,Patna,1,3,0.0,0,Closed,2022-12-05,2024-08-17
121418,58,37000.0,Business Owner,659.0,3.4,Credit Card,91000.0,16.66,120,East,Bhubaneswar,0,4,47600.0,0,Active,2023-01-14,2024-12-07
113085,38,33500.0,Salaried,830.0,21.4,Education Loan,1063000.0,18.38,24,Central,Bhopal,0,1,452400.0,0,active,2024-09-05,2026-02-17
101039,43,71300.0,Salaried,726.0,18.5,Business Loan,2179000.0,16.68,60,West,Pune,0,0,438000.0,0,Active,2022-04-13,2023-06-25
100304,47,95200.0,Salaried,573.0,28.0,Auto Loan,691000.0,13.57,180,West,Mumbai,0,2,374300.0,196,Default,2023-07-16,2024-09-29
117825,53,94800.0,Self-Employed,760.0,35.9,Credit Card,42000.0,13.32,24,South,Chennai,0,3,0.0,0,Closed,08-Jun-2021,2023-06-15
121443,40,42700.0,Salaried,565.0,29.5,Credit Card,182000.0,13.78,36,North,Delhi,1,2,120300.0,0,Active,2024-02-22,2025-10-05
119534,36,38200.0,Self-Employed,631.0,-5.9,Personal Loan,469000.0,10.61,12,South,Hyderabad,0,3,78800.0,28,Delinquent,2024-02-29,2025-12-31
108715,53,110600.0,Salaried,755.0,32.4,Home Loan,3761000.0,10.21,12,North,Lucknow,0,0,2316400.0,0,Active,2023-03-12,2024-10-27
100930,39,50700.0,Self-Employed,757.0,26.7,Credit Card,193000.0,15.32,84,West,Pune,0,0,89400.0,0,Active,2024-09-28,2025-07-17
108894,27,61000.0,Retired,625.0,10.8,Personal Loan,322000.0,10.38,120,Central,Bhopal,0,2,96400.0,22,Delinquent,2022-03-11,2022-07-09
119012,37,60300.0,Salaried,733.0,30.7,Credit Card,193000.0,6.0,48,North,Delhi,0,1,0.0,0,Closed,22-Oct-2022,2024-06-07
103211,54,23100.0,Salaried,536.0,66.1,Personal Loan,396000.0,10.67,240,North,Chandigarh,1,2,189700.0,0,Active,2024-08-26,2024-11-08
117533,36,35900.0,Self-Employed,623.0,86.0,Home Loan,4557000.0,8.78,48,North,Lucknow,0,0,2112700.0,0,Active,2021-08-21,2022-12-16
118460,53,109500.0,Unemployed,597.0,36.8,Credit Card,242000.0,11.5,120,South,Chennai,0,1,159100.0,0,Active,2023-05-17,2024-01-14
116844,41,31900.0,Salaried,803.0,32.3,Credit Card,121000.0,9.02,60,East,Patna,0,3,0.0,0,Closed,2024-12-16,2025-10-24
117859,50,46900.0,Salaried,842.0,44.9,Auto Loan,820000.0,11.81,84,Central,Bhopal,0,2,0.0,0,Closed,2024-09-06,2025-10-02
118531,49,145800.0,Salaried,551.0,66.6,Education Loan,560000.0,11.23,84,East,Bhubaneswar,0,2,0.0,0,Closed,2023-03-06,2025-03-13
105880,44,41300.0,Salaried,644.0,36.3,Home Loan,2730000.0,14.28,240,South,Hyderabad,0,1,820500.0,0,Active,2023-11-02,2025-02-01
109776,59,31300.0,Self-Employed,544.0,56.7,Credit Card,46000.0,8.92,84,Central,Bhopal,0,1,11700.0,0,Active,2023-06-04,2025-07-17
105430,19,70100.0,Self-Employed,601.0,30.9,Auto Loan,1301000.0,7.19,60,North,Lucknow,0,2,1209100.0,0,Active,2023-08-19,2024-10-11
106742,35,114100.0,Salaried,466.0,52.8,Credit Card,148000.0,14.29,84,East,Bhubaneswar,0,2,36000.0,0,Active,2022-11-17,2023-03-12
105140,32,57500.0,Salaried,546.0,37.7,Auto Loan,984000.0,8.94,60,West,Ahmedabad,1,2,701600.0,0,Active,2024-08-08,2025-08-21
119333,51,30500.0,Salaried,634.0,17.5,Education Loan,751000.0,10.68,180,Central,Nagpur,0,2,95700.0,0,Active,2021-01-09,2022-03-04
112196,46,,Salaried,644.0,28.6,Auto Loan,906000.0,12.41,240,North,Delhi,0,1,542800.0,47,Delinquent,2022-08-16,2024-03-09
111494,56,26400.0,Salaried,650.0,38.1,Home Loan,5512000.0,6.51,84,West,Ahmedabad,0,2,0.0,0,Closed,2021-10-18,2024-02-10
107841,39,57300.0,Salaried,524.0,50.5,Education Loan,1120000.0,12.63,48,West,Pune,0,2,643100.0,31,Delinquent,2021-08-25,2021-12-07
120398,48,142300.0,Salaried,632.0,,Personal Loan,168000.0,11.57,48,East,Bhubaneswar,0,0,56200.0,0,Active,2023-09-12,2024-11-28
112231,44,40700.0,Business Owner,718.0,40.8,Personal Loan,370000.0,11.46,36,South,Chennai,0,2,109900.0,0,Active,2022-08-13,2023-05-11
105342,45,52400.0,Salaried,528.0,,Auto Loan,610000.0,12.56,60,North,Delhi,0,1,68800.0,29,Delinquent,2023-04-17,2024-11-17
115360,29,43300.0,Salaried,572.0,36.2,Auto Loan,654000.0,6.0,12,East,Patna,0,1,459700.0,0,Active,2023-08-14,2025-05-16
108176,53,67700.0,Salaried,731.0,8.8,Home Loan,2461000.0,15.58,240,South,Chennai,1,1,840800.0,0,Active,2024-04-12,2024-07-16
103239,42,37300.0,Self-Employed,640.0,,Personal Loan,312000.0,17.04,240,South,Bengaluru,0,4,214100.0,0,Active,2022-10-07,2024-08-30
106866,52,38400.0,Salaried,791.0,44.0,Auto Loan,679000.0,9.59,180,South,Hyderabad,0,0,397600.0,0,Active,2023-11-16,2025-03-31
102883,33,37300.0,Retired,529.0,14.2,Personal Loan,678000.0,11.73,60,East,Kolkata,0,0,0.0,0,CLOSED,2021-05-07,2021-09-13
114799,19,64700.0,Unemployed,745.0,49.3,Home Loan,5900000.0,6.0,36,South,Bengaluru,0,1,1386700.0,70,Delinquent,2024-06-17,2024-11-24
112083,30,35800.0,Business Owner,715.0,27.3,Credit Card,173000.0,11.19,84,South,Chennai,0,1,81600.0,12,Delinquent,2023-03-10,2023-12-14
107679,32,67600.0,Business Owner,776.0,47.2,Auto Loan,501000.0,6.0,120,North,Chandigarh,1,1,452300.0,14,Delinquent,2024-06-29,2025-07-20
100115,38,45300.0,Salaried,658.0,34.1,Credit Card,172000.0,12.56,48,South,Hyderabad,0,0,127000.0,0,Active,2023-12-10,2025-03-27
120006,32,32200.0,Salaried,601.0,30.1,Personal Loan,428000.0,9.3,36,North,Lucknow,0,3,64300.0,0,Active,2022-04-16,2023-09-12
117764,58,57800.0,Salaried,472.0,37.7,Credit Card,189000.0,9.41,120,South,Chennai,0,1,0.0,0,Closed,2021-05-21,2022-10-16
105419,33,1263247.9671800814,Business Owner,563.0,25.1,Home Loan,4513000.0,8.23,240,East,Bhubaneswar,0,1,1731800.0,0,Active,2022-06-25,2024-03-17
104030,50,59800.0,Business Owner,693.0,48.1,Home Loan,1890000.0,10.32,84,North,Lucknow,1,1,0.0,0,Closed,2023-02-26,2024-12-09
118216,55,46600.0,Salaried,675.0,29.8,Auto Loan,931000.0,12.31,60,North,Lucknow,0,1,804900.0,0,Active,2021-09-07,2023-10-07
110519,21,142000.0,Unemployed,721.0,47.3,Personal Loan,507000.0,14.16,12,South,Bengaluru,1,2,0.0,0,Closed,2022-10-15,2024-11-17
108398,42,128100.0,Salaried,730.0,90.7,Personal Loan,291000.0,10.4,24,North,Delhi,0,2,139300.0,0,Active,2023-06-29,2025-07-20
107429,42,66800.0,Salaried,596.0,45.2,Credit Card,232000.0,10.17,60,North,Chandigarh,0,1,100500.0,0,Active,2021-05-05,2021-09-02
119638,44,32300.0,,677.0,44.8,Personal Loan,320000.0,14.46,12,North,Delhi,0,2,33200.0,0,Active,2023-08-05,2024-11-30
115609,40,858518.0359476282,Unemployed,756.0,11.7,Personal Loan,331000.0,9.47,240,North,Lucknow,0,1,36700.0,0,Active,2021-12-22,2022-01-22
121131,28,48100.0,Salaried,513.0,16.5,Personal Loan,359000.0,10.85,180,North,Chandigarh,0,4,79100.0,0,Active,2024-05-29,2025-09-26
104424,51,189700.0,Salaried,661.0,56.2,Personal Loan,417000.0,17.35,84,Central,Raipur,0,1,172500.0,0,Active,2023-03-11,2024-02-23
115186,37,36300.0,Self-Employed,635.0,24.0,Home Loan,2621000.0,16.55,60,South,Chennai,0,0,820800.0,0,Active,2024-08-21,2026-01-25
102044,42,23800.0,Salaried,606.0,44.5,Auto Loan,668000.0,11.08,84,West,Pune,0,1,0.0,0,Closed,2021-06-17,2023-08-04
116676,36,85300.0,Salaried,652.0,9.0,Auto Loan,886000.0,10.07,60,South,Chennai,2,1,98300.0,0,Active,2023-03-20,2024-12-28
103793,43,33700.0,Unemployed,636.0,49.8,Auto Loan,899000.0,10.6,48,West,Pune,0,4,466700.0,0,Active,2024-11-07,2026-07-28
109353,28,122000.0,Unemployed,701.0,45.5,Credit Card,97000.0,11.5,60,North,Chandigarh,0,0,71700.0,10,Delinquent,2023-10-18,2023-12-07
103274,49,34800.0,Salaried,654.0,54.9,Education Loan,1280000.0,13.67,60,Central,Nagpur,0,1,454000.0,0,active,2021-07-31,2021-11-07
101881,52,35600.0,Self-Employed,697.0,8.1,Personal Loan,336000.0,19.66,12,East,Kolkata,1,1,292800.0,35,Delinquent,2023-11-13,2025-02-01
113383,46,105400.0,Salaried,548.0,54.0,Personal Loan,275000.0,8.51,12,West,Ahmedabad,0,2,112700.0,0,Active,2024-04-21,2025-06-18
109719,47,30700.0,Business Owner,806.0,33.7,Credit Card,120000.0,14.0,84,West,Mumbai,2,2,54800.0,0,Active,2021-06-16,2022-03-17
116140,36,78900.0,Self-Employed,528.0,19.0,Auto Loan,669000.0,14.58,120,North,Delhi,1,1,289400.0,0,Active,2021-10-06,2023-07-17
118331,40,43000.0,Salaried,675.0,55.5,Auto Loan,1042000.0,11.51,180,South,Hyderabad,0,1,333800.0,0,Active,2024-04-04,2025-07-12
105302,36,31900.0,Salaried,744.0,59.8,Personal Loan,453000.0,12.03,12,South,Hyderabad,1,2,0.0,0,Closed,2021-11-14,2023-05-17
115161,30,28400.0,Self-Employed,669.0,18.4,Education Loan,1566000.0,15.98,240,North,Chandigarh,0,1,199000.0,9,Delinquent,2024-03-19,2024-05-11
112260,49,42500.0,Unemployed,493.0,28.8,Personal Loan,562000.0,15.18,120,Central,Raipur,0,1,0.0,0,Closed,2023-08-10,2024-10-18
114887,38,39900.0,Salaried,676.0,51.2,Credit Card,139000.0,10.75,12,East,Bhubaneswar,2,0,40700.0,0,Active,2022-10-14,2024-10-22
115696,38,62800.0,Salaried,685.0,27.1,Auto Loan,638000.0,11.4,12,West,Ahmedabad,0,0,335100.0,0,Active,2021-05-01,2022-09-09
110856,31,48500.0,Business Owner,762.0,38.9,Home Loan,2730000.0,15.04,84,East,Patna,0,1,933300.0,0,Active,2022-12-24,2023-02-02
108277,70,24100.0,Salaried,565.0,34.0,Auto Loan,920000.0,6.1,24,South,Chennai,2,0,256900.0,0,Active,2023-07-16,2025-01-08
103879,22,91600.0,Salaried,623.0,52.7,Personal Loan,246000.0,8.03,84,West,Mumbai,0,1,150800.0,0,Active,2024-06-27,2025-06-12
113087,54,39100.0,Salaried,572.0,49.5,Education Loan,784000.0,12.35,240,Central,Nagpur,0,2,0.0,0,Closed,2023-11-09,2025-05-23
116345,30,33700.0,Retired,755.0,17.9,Business Loan,2284000.0,10.2,12,Central,Nagpur,0,0,273600.0,0,Active,2022-03-15,2023-12-08
109270,35,135700.0,Salaried,522.0,33.1,Auto Loan,588000.0,8.45,36,Central,Nagpur,1,3,127500.0,54,Delinquent,2023-02-21,2023-03-26
105919,48,43300.0,Salaried,616.0,6.2,Personal Loan,592000.0,15.94,120,West,Ahmedabad,0,2,559400.0,0,Active,2024-09-01,2026-03-24
108847,36,127100.0,Salaried,546.0,44.8,Personal Loan,276000.0,8.52,12,West,Pune,0,1,85500.0,0,Active,2024-12-17,2025-03-09
100443,18,43000.0,Salaried,713.0,27.0,Personal Loan,499000.0,12.7,84,Central,Nagpur,2,2,0.0,0,Closed,26/05/2023,2025-01-22
104719,49,65200.0,Salaried,574.0,34.2,Personal Loan,472000.0,16.6,180,West,Pune,0,3,449100.0,43,Default,2023-10-04,2024-05-18
108842,49,36800.0,Salaried,627.0,53.2,Education Loan,535000.0,16.81,36,West,Mumbai,3,1,64800.0,0,Active,2023-08-16,2024-03-14
