Customer_ID,Age,Income,Employment_Type,Credit_Score,DTI,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Region,Branch,Previous_Defaults,Late_Payments,Outstanding_Amount,Days_Past_Due,Loan_Status,Application_Date,Payment_Date,Age_Group,Income_Band,Credit_Score_Band,DTI_Band,Is_Delinquent,Is_Default,Loan_to_Income_Ratio,Outstanding_Pct,EMI_Estimate,Application_Year,Application_Month,Is_Overdue_30plus,Is_Overdue_90plus,Risk_Points,Risk_Segment
115579,41,89400.0,Self-Employed,836,37.8,Credit Card,178000.0,9.1,240,Central,Nagpur,0,2,62700.0,0,Active,2022-09-30,2023-08-24,36-45,<3L,Excellent (800-900),High (36-50%),0,0,1.99,35.2,1613.0,2022,2022-09,0,0,2,Low Risk
114431,20,197700.0,Salaried,606,25.7,Auto Loan,1276000.0,8.26,60,West,Mumbai,1,1,1273600.0,141,Default,2021-07-18,2021-09-26,18-25,<3L,Fair (580-669),Moderate (20-36%),1,1,6.45,99.8,26032.0,2021,2021-07,1,1,5,Medium Risk
112456,34,94500.0,Self-Employed,656,31.5,Home Loan,3456000.0,10.25,60,West,Ahmedabad,0,1,2027300.0,0,Active,2024-01-15,2024-10-13,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,36.57,58.7,73856.0,2024,2024-01,0,0,3,Medium Risk
112855,26,53600.0,Salaried,499,58.2,Credit Card,91000.0,15.83,48,North,Chandigarh,1,4,39400.0,0,Active,2022-10-11,2024-08-25,26-35,<3L,Poor (300-579),Very High (>50%),0,0,1.7,43.3,2571.0,2022,2022-10,0,0,9,High Risk
108988,33,55000.0,Business Owner,509,6.1,Credit Card,235000.0,7.51,12,West,Ahmedabad,2,3,208800.0,0,Active,2023-11-15,2025-02-28,26-35,<3L,Poor (300-579),Low (<20%),0,0,4.27,88.9,20389.0,2023,2023-11,0,0,7,High Risk
105410,53,78300.0,Salaried,765,17.1,Home Loan,3371000.0,8.93,36,East,Patna,0,1,0.0,0,Closed,2024-11-16,2025-02-18,46-55,<3L,Very Good (740-799),Low (<20%),0,0,43.05,0.0,107087.0,2024,2024-11,0,0,0,Low Risk
100028,45,53400.0,Self-Employed,600,53.6,Auto Loan,522000.0,6.0,84,West,Ahmedabad,0,1,217200.0,0,Active,2022-07-06,2024-04-04,36-45,<3L,Fair (580-669),Very High (>50%),0,0,9.78,41.6,7626.0,2022,2022-07,0,0,5,Medium Risk
116058,49,69300.0,Salaried,713,19.8,Credit Card,202000.0,12.83,36,North,Chandigarh,0,2,124200.0,0,Active,2023-10-30,2024-03-08,46-55,<3L,Good (670-739),Low (<20%),0,0,2.91,61.5,6790.0,2023,2023-10,0,0,1,Low Risk
107292,32,54450.0,Salaried,612,25.7,Personal Loan,366000.0,10.71,120,South,Bengaluru,0,0,0.0,0,Closed,2024-04-22,2026-07-09,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,6.72,0.0,4982.0,2024,2024-04,0,0,3,Medium Risk
102389,51,38700.0,Salaried,624,24.6,Home Loan,3507000.0,8.0,12,South,Chennai,1,0,0.0,0,Closed,2023-06-20,2024-05-29,46-55,<3L,Fair (580-669),Moderate (20-36%),0,0,90.62,0.0,305068.0,2023,2023-06,0,0,5,Medium Risk
115365,23,18000.0,Salaried,837,32.9,Auto Loan,1195000.0,15.2,36,North,Lucknow,0,1,0.0,0,Closed,2021-05-03,2023-06-13,18-25,<3L,Excellent (800-900),Moderate (20-36%),0,0,66.39,0.0,41542.0,2021,2021-05,0,0,1,Low Risk
102941,52,37400.0,Self-Employed,506,32.6,Education Loan,726000.0,9.56,60,East,Bhubaneswar,0,0,656100.0,0,Active,2023-05-18,2024-09-25,46-55,<3L,Poor (300-579),Moderate (20-36%),0,0,19.41,90.4,15269.0,2023,2023-05,0,0,4,Medium Risk
119135,28,34500.0,Salaried,622,34.7,Credit Card,279000.0,6.8,180,North,Delhi,0,2,45300.0,1,Delinquent,2022-04-27,2022-11-09,26-35,<3L,Fair (580-669),Moderate (20-36%),1,0,8.09,16.2,2477.0,2022,2022-04,0,0,3,Medium Risk
101965,47,51900.0,Retired,611,17.4,Business Loan,1730000.0,14.22,36,South,Hyderabad,0,1,0.0,0,Closed,2021-08-27,2023-10-24,46-55,<3L,Fair (580-669),Low (<20%),0,0,33.33,0.0,59312.0,2021,2021-08,0,0,2,Low Risk
110726,31,53200.0,Salaried,684,14.2,Business Loan,895000.0,14.54,36,South,Hyderabad,0,1,257800.0,0,Active,2023-10-23,2025-10-11,26-35,<3L,Good (670-739),Low (<20%),0,0,16.82,28.8,30824.0,2023,2023-10,0,0,1,Low Risk
119319,42,55000.0,Salaried,617,57.2,Auto Loan,661000.0,15.71,180,North,Chandigarh,2,3,251800.0,0,Active,2021-08-03,2022-08-29,36-45,<3L,Fair (580-669),Very High (>50%),0,0,12.02,38.1,9575.0,2021,2021-08,0,0,9,High Risk
102263,55,39600.0,Salaried,642,9.0,Personal Loan,352000.0,7.59,84,North,Lucknow,0,2,129900.0,0,Active,2021-02-04,2021-05-31,46-55,<3L,Fair (580-669),Low (<20%),0,0,8.89,36.9,5415.0,2021,2021-02,0,0,2,Low Risk
105495,45,30600.0,Self-Employed,596,45.0,Home Loan,2211000.0,6.71,24,East,Kolkata,0,1,2022700.0,0,Active,2024-06-18,2025-11-29,36-45,<3L,Fair (580-669),High (36-50%),0,0,72.25,91.5,98702.0,2024,2024-06,0,0,4,Medium Risk
105142,46,60000.0,Salaried,562,8.4,Business Loan,1461000.0,8.85,84,North,Delhi,0,3,656800.0,0,Active,2024-04-08,2024-10-18,46-55,<3L,Poor (300-579),Low (<20%),0,0,24.35,45.0,23395.0,2024,2024-04,0,0,4,Medium Risk
102212,47,63200.0,Unemployed,480,49.2,Personal Loan,483000.0,13.0,240,Central,Bhopal,2,2,442700.0,0,Active,2021-06-03,2021-07-07,46-55,<3L,Poor (300-579),High (36-50%),0,0,7.64,91.7,5659.0,2021,2021-06,0,0,8,High Risk
106975,56,40300.0,Salaried,686,65.6,Auto Loan,886000.0,11.49,240,West,Mumbai,0,2,0.0,0,Closed,2023-07-08,2025-12-16,56-65,<3L,Good (670-739),Very High (>50%),0,0,21.99,0.0,9442.0,2023,2023-07,0,0,4,Medium Risk
102896,75,32700.0,Self-Employed,655,38.9,Business Loan,476000.0,12.94,120,East,Kolkata,2,2,414100.0,0,Active,2021-09-15,2022-12-05,65+,<3L,Fair (580-669),High (36-50%),0,0,14.56,87.0,7090.0,2021,2021-09,0,0,7,High Risk
101827,27,24700.0,Business Owner,731,35.7,Home Loan,2400000.0,16.39,48,Central,Bhopal,0,1,0.0,0,Closed,2022-02-14,2022-06-20,26-35,<3L,Good (670-739),Moderate (20-36%),0,0,97.17,0.0,68497.0,2022,2022-02,0,0,2,Low Risk
105511,42,46900.0,Self-Employed,611,31.2,Auto Loan,1014000.0,6.0,12,West,Ahmedabad,0,3,0.0,0,Closed,2022-05-27,2023-11-15,36-45,<3L,Fair (580-669),Moderate (20-36%),0,0,21.62,0.0,87271.0,2022,2022-05,0,0,4,Medium Risk
118829,18,43600.0,Self-Employed,744,75.8,Auto Loan,3320840.566471502,14.67,24,East,Bhubaneswar,0,1,435800.0,0,Active,2021-02-02,2022-09-07,18-25,<3L,Very Good (740-799),Very High (>50%),0,0,76.17,13.1,160496.0,2021,2021-02,0,0,3,Medium Risk
114172,58,119800.0,Self-Employed,629,33.3,Education Loan,1047000.0,10.93,12,West,Pune,1,1,0.0,0,Closed,2024-10-29,2025-02-26,56-65,<3L,Fair (580-669),Moderate (20-36%),0,0,8.74,0.0,92501.0,2024,2024-10,0,0,5,Medium Risk
110271,36,20300.0,Salaried,726,45.7,Auto Loan,1064000.0,11.46,12,West,Ahmedabad,2,0,394500.0,0,Active,2023-07-10,2023-10-06,36-45,<3L,Good (670-739),High (36-50%),0,0,52.41,37.1,94267.0,2023,2023-07,0,0,6,High Risk
119628,39,86900.0,Salaried,833,22.1,Credit Card,139000.0,12.08,120,North,Delhi,0,1,71600.0,0,Active,2022-11-22,2024-07-17,36-45,<3L,Excellent (800-900),Moderate (20-36%),0,0,1.6,51.5,2001.0,2022,2022-11,0,0,1,Low Risk
101234,71,57800.0,Salaried,569,26.1,Business Loan,571000.0,12.47,120,North,Chandigarh,0,0,106700.0,0,Active,2024-10-20,2025-10-19,65+,<3L,Poor (300-579),Moderate (20-36%),0,0,9.88,18.7,8348.0,2024,2024-10,0,0,4,Medium Risk
109348,49,76800.0,Unemployed,698,44.2,Business Loan,2333000.0,11.04,24,Central,Bhopal,0,2,1338900.0,0,Active,2021-10-28,2023-07-24,46-55,<3L,Good (670-739),High (36-50%),0,0,30.38,57.4,108779.0,2021,2021-10,0,0,3,Medium Risk
101738,27,33300.0,Self-Employed,811,32.8,Personal Loan,343000.0,10.42,84,South,Chennai,0,1,181900.0,61,Default,2021-12-31,2023-02-07,26-35,<3L,Excellent (800-900),Moderate (20-36%),1,1,10.3,53.0,5769.0,2021,2021-12,1,0,1,Low Risk
112559,27,62800.0,Salaried,601,22.7,Education Loan,544000.0,14.95,84,North,Chandigarh,0,2,0.0,0,Closed,2023-06-23,2025-09-11,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,8.66,0.0,10482.0,2023,2023-06,0,0,3,Medium Risk
113163,42,35800.0,Self-Employed,880,34.9,Personal Loan,563000.0,16.69,180,West,Pune,0,0,468600.0,0,Active,2023-08-19,2024-12-11,36-45,<3L,Excellent (800-900),Moderate (20-36%),0,0,15.73,83.2,8541.0,2023,2023-08,0,0,1,Low Risk
116970,47,54450.0,Salaried,523,34.9,Home Loan,3641000.0,13.21,84,North,Chandigarh,0,3,1967100.0,0,Active,2021-11-29,2023-03-05,46-55,<3L,Poor (300-579),Moderate (20-36%),0,0,66.87,54.0,66653.0,2021,2021-11,0,0,5,Medium Risk
114319,47,25800.0,Salaried,653,35.3,Credit Card,181000.0,7.47,84,East,Bhubaneswar,0,3,0.0,0,Closed,2021-07-24,2022-04-23,46-55,<3L,Fair (580-669),Moderate (20-36%),0,0,7.02,0.0,2774.0,2021,2021-07,0,0,4,Medium Risk
102889,35,86400.0,Salaried,675,64.3,Home Loan,3574000.0,15.81,84,East,Kolkata,0,0,2968500.0,0,Active,2022-03-01,2023-09-23,26-35,<3L,Good (670-739),Very High (>50%),0,0,41.37,83.1,70601.0,2022,2022-03,0,0,4,Medium Risk
107169,53,74400.0,Business Owner,544,55.4,Business Loan,2403000.0,8.69,120,Central,Nagpur,0,1,1833400.0,51,Default,2024-03-02,2024-07-02,46-55,<3L,Poor (300-579),Very High (>50%),1,1,32.3,76.3,30039.0,2024,2024-03,1,0,6,High Risk
118748,45,72000.0,Salaried,712,28.0,Auto Loan,879000.0,9.33,24,Central,Nagpur,0,0,743900.0,0,Active,2022-12-05,2023-08-25,36-45,<3L,Good (670-739),Moderate (20-36%),0,0,12.21,84.6,40290.0,2022,2022-12,0,0,2,Low Risk
118791,52,39200.0,Salaried,790,56.4,Education Loan,1040000.0,10.25,48,South,Bengaluru,0,0,0.0,0,Closed,2022-03-29,2023-07-29,46-55,<3L,Very Good (740-799),Very High (>50%),0,0,26.53,0.0,26502.0,2022,2022-03,0,0,3,Medium Risk
107434,29,91500.0,Salaried,622,11.6,Auto Loan,1079000.0,12.09,24,North,Lucknow,0,1,555500.0,0,Active,2021-04-24,2021-11-09,26-35,<3L,Fair (580-669),Low (<20%),0,0,11.79,51.5,50838.0,2021,2021-04,0,0,2,Low Risk
101601,38,85900.0,Retired,660,40.0,Home Loan,3283000.0,14.43,180,West,Ahmedabad,0,0,1792500.0,0,Active,2023-09-30,2024-05-30,36-45,<3L,Fair (580-669),High (36-50%),0,0,38.22,54.6,44674.0,2023,2023-09,0,0,4,Medium Risk
101824,32,91900.0,Business Owner,633,34.9,Auto Loan,815000.0,11.49,240,East,Kolkata,0,5,308000.0,0,Active,2022-01-25,2022-11-09,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,8.87,37.8,8686.0,2022,2022-01,0,0,4,Medium Risk
101777,33,43800.0,Unemployed,765,46.1,Home Loan,2896000.0,14.3,24,West,Mumbai,0,1,1926000.0,0,Active,2024-07-21,2025-12-23,26-35,<3L,Very Good (740-799),High (36-50%),0,0,66.12,66.5,139456.0,2024,2024-07,0,0,2,Low Risk
121010,64,168200.0,Salaried,616,32.9,Education Loan,644000.0,13.57,84,North,Delhi,0,0,430100.0,0,Active,2021-01-11,2021-07-27,56-65,<3L,Fair (580-669),Moderate (20-36%),0,0,3.83,66.8,11916.0,2021,2021-01,0,0,3,Medium Risk
105024,21,64600.0,Business Owner,515,47.6,Home Loan,3950000.0,12.76,12,North,Delhi,0,1,3039000.0,0,Active,2022-10-07,2024-05-03,18-25,<3L,Poor (300-579),High (36-50%),0,0,61.15,76.9,352359.0,2022,2022-10,0,0,5,Medium Risk
111340,46,68900.0,Self-Employed,627,56.5,Education Loan,1428000.0,14.87,48,South,Chennai,0,2,156200.0,0,Active,2024-03-18,2024-05-16,46-55,<3L,Fair (580-669),Very High (>50%),0,0,20.73,10.9,39648.0,2024,2024-03,0,0,5,Medium Risk
104280,44,39600.0,Business Owner,671,28.9,Education Loan,316000.0,9.73,120,East,Kolkata,0,0,273400.0,0,Active,2024-06-23,2025-10-22,36-45,<3L,Good (670-739),Moderate (20-36%),0,0,7.98,86.5,4129.0,2024,2024-06,0,0,2,Low Risk
105858,34,17000.0,Salaried,642,37.5,Home Loan,2432000.0,15.0,240,East,Patna,0,2,1460400.0,0,Active,2021-06-20,2021-07-29,26-35,<3L,Fair (580-669),High (36-50%),0,0,143.06,60.0,32024.0,2021,2021-06,0,0,4,Medium Risk
102303,35,54700.0,Salaried,651,51.9,Home Loan,972000.0,15.32,180,South,Chennai,0,0,767800.0,0,Active,2021-02-24,2023-04-10,26-35,<3L,Fair (580-669),Very High (>50%),0,0,17.77,79.0,13818.0,2021,2021-02,0,0,5,Medium Risk
119254,37,45100.0,Self-Employed,656,39.5,Credit Card,62000.0,6.0,24,Central,Raipur,0,0,47500.0,0,Active,2022-02-17,2022-06-01,36-45,<3L,Fair (580-669),High (36-50%),0,0,1.37,76.6,2748.0,2022,2022-02,0,0,4,Medium Risk
100629,41,48400.0,Unemployed,555,71.0,Personal Loan,334000.0,7.58,84,West,Pune,2,1,159500.0,0,Active,2021-12-16,2023-03-28,36-45,<3L,Poor (300-579),Very High (>50%),0,0,6.9,47.8,5136.0,2021,2021-12,0,0,9,High Risk
114167,45,22700.0,Business Owner,738,22.5,Auto Loan,620000.0,9.37,84,Central,Bhopal,0,1,239900.0,0,Active,2021-02-25,2022-12-22,36-45,<3L,Good (670-739),Moderate (20-36%),0,0,27.31,38.7,10092.0,2021,2021-02,0,0,2,Low Risk
100845,42,28100.0,Self-Employed,755,38.7,Education Loan,378000.0,7.03,24,West,Mumbai,2,1,0.0,0,Closed,2021-06-07,2023-09-22,36-45,<3L,Very Good (740-799),High (36-50%),0,0,13.45,0.0,16929.0,2021,2021-06,0,0,5,Medium Risk
121200,39,104600.0,Salaried,583,41.2,Education Loan,718000.0,12.54,60,South,Bengaluru,0,0,479600.0,39,Default,2024-01-01,2025-07-25,36-45,<3L,Fair (580-669),High (36-50%),1,1,6.86,66.8,16168.0,2024,2024-01,1,0,4,Medium Risk
113193,34,76800.0,Salaried,612,29.8,Personal Loan,271000.0,8.26,12,North,Lucknow,0,1,0.0,0,Closed,2022-08-18,2024-05-25,26-35,<3L,Fair (580-669),Moderate (20-36%),0,0,3.53,0.0,23606.0,2022,2022-08,0,0,3,Medium Risk
110944,36,38100.0,Salaried,750,47.8,Credit Card,218000.0,6.0,60,South,Hyderabad,2,1,65300.0,0,Active,2022-07-17,2023-03-04,36-45,<3L,Very Good (740-799),High (36-50%),0,0,5.72,30.0,4215.0,2022,2022-07,0,0,5,Medium Risk
115951,43,58300.0,Salaried,648,33.1,Home Loan,3004000.0,7.43,120,Central,Nagpur,0,0,2321700.0,0,Active,2023-12-16,2025-11-26,36-45,<3L,Fair (580-669),Moderate (20-36%),0,0,51.53,77.3,35548.0,2023,2023-12,0,0,3,Medium Risk
113869,48,110900.0,Salaried,749,46.9,Credit Card,99000.0,7.93,24,East,Patna,0,2,0.0,0,Closed,2024-02-20,2025-03-29,46-55,<3L,Very Good (740-799),High (36-50%),0,0,0.89,0.0,4474.0,2024,2024-02,0,0,2,Low Risk
109055,19,44400.0,Business Owner,553,72.9,Credit Card,225000.0,10.19,12,East,Bhubaneswar,0,1,65700.0,0,Active,2022-01-28,2022-11-03,18-25,<3L,Poor (300-579),Very High (>50%),0,0,5.07,29.2,19801.0,2022,2022-01,0,0,6,High Risk
108845,45,63700.0,Business Owner,594,22.5,Personal Loan,364000.0,15.51,36,North,Chandigarh,0,2,0.0,0,Closed,2023-11-23,2025-07-26,36-45,<3L,Fair (580-669),Moderate (20-36%),0,0,5.71,0.0,12709.0,2023,2023-11,0,0,3,Medium Risk
118581,46,72100.0,Business Owner,677,36.8,Credit Card,133000.0,12.74,120,West,Pune,0,3,34000.0,0,Active,2024-01-01,2024-12-14,46-55,<3L,Good (670-739),High (36-50%),0,0,1.84,25.6,1965.0,2024,2024-01,0,0,4,Medium Risk
110358,18,58400.0,Business Owner,598,55.7,Education Loan,1516000.0,13.68,120,South,Chennai,2,2,0.0,0,Closed,2022-03-22,2022-12-19,18-25,<3L,Fair (580-669),Very High (>50%),0,0,25.96,0.0,23248.0,2022,2022-03,0,0,8,High Risk
108205,35,61300.0,Salaried,627,39.1,Auto Loan,828000.0,9.07,48,Central,Raipur,0,2,391900.0,0,Active,2023-07-02,2024-09-28,26-35,<3L,Fair (580-669),High (36-50%),0,0,13.51,47.3,20632.0,2023,2023-07,0,0,4,Medium Risk
106314,47,39500.0,Retired,663,26.1,Education Loan,936000.0,11.8,240,West,Mumbai,0,1,338800.0,0,Active,2021-07-09,2022-08-21,46-55,<3L,Fair (580-669),Moderate (20-36%),0,0,23.7,36.2,10176.0,2021,2021-07,0,0,3,Medium Risk
100503,23,54450.0,Salaried,803,17.1,Home Loan,2535000.0,11.87,36,East,Kolkata,0,0,0.0,0,Closed,2022-06-19,2023-11-15,18-25,<3L,Excellent (800-900),Low (<20%),0,0,46.56,0.0,84041.0,2022,2022-06,0,0,0,Low Risk
107974,34,99600.0,Business Owner,580,55.7,Education Loan,1093000.0,19.19,36,North,Lucknow,0,0,432500.0,0,Active,2023-08-02,2024-05-14,26-35,<3L,Fair (580-669),Very High (>50%),0,0,10.97,39.6,40170.0,2023,2023-08,0,0,5,Medium Risk
118956,35,64300.0,Salaried,726,53.5,Auto Loan,623000.0,15.78,24,West,Mumbai,0,2,350800.0,0,Active,2024-02-02,2024-05-15,26-35,<3L,Good (670-739),Very High (>50%),0,0,9.69,56.3,30439.0,2024,2024-02,0,0,4,Medium Risk
120989,34,65700.0,Salaried,684,60.9,Credit Card,131000.0,14.15,240,Central,Bhopal,0,3,110000.0,0,Active,2022-03-18,2022-08-17,26-35,<3L,Good (670-739),Very High (>50%),0,0,1.99,84.0,1643.0,2022,2022-03,0,0,5,Medium Risk
102782,32,23100.0,Self-Employed,578,54.5,Auto Loan,611000.0,11.5,12,Central,Bhopal,0,3,322400.0,0,Active,2021-07-19,2023-06-01,26-35,<3L,Poor (300-579),Very High (>50%),0,0,26.45,52.8,54144.0,2021,2021-07,0,0,7,High Risk
121244,35,19700.0,Self-Employed,669,51.7,Auto Loan,558000.0,16.96,12,Central,Bhopal,0,1,347400.0,0,Active,2023-09-25,2025-06-20,26-35,<3L,Fair (580-669),Very High (>50%),0,0,28.32,62.3,50882.0,2023,2023-09,0,0,5,Medium Risk
118757,53,46800.0,Unemployed,460,50.0,Credit Card,47000.0,10.58,120,Central,Bhopal,0,0,19800.0,0,Active,2023-02-19,2023-12-06,46-55,<3L,Poor (300-579),High (36-50%),0,0,1.0,42.1,636.0,2023,2023-02,0,0,5,Medium Risk
116697,40,55900.0,Salaried,606,30.7,Personal Loan,104000.0,11.44,12,Central,Raipur,0,2,17400.0,13,Delinquent,2023-09-17,2024-11-06,36-45,<3L,Fair (580-669),Moderate (20-36%),1,0,1.86,16.7,9213.0,2023,2023-09,0,0,3,Medium Risk
118921,40,54450.0,Salaried,522,32.0,Education Loan,833000.0,17.83,240,East,Patna,0,0,334100.0,28,Delinquent,2022-06-02,2023-01-12,36-45,<3L,Poor (300-579),Moderate (20-36%),1,0,15.3,40.1,12747.0,2022,2022-06,0,0,4,Medium Risk
119696,40,39600.0,Business Owner,616,32.5,Personal Loan,637000.0,9.26,180,East,Bhubaneswar,0,1,281700.0,0,Active,2022-04-23,2023-04-14,36-45,<3L,Fair (580-669),Moderate (20-36%),0,0,16.09,44.2,6560.0,2022,2022-04,0,0,3,Medium Risk
118118,45,24600.0,Salaried,651,28.5,Auto Loan,627000.0,12.38,36,North,Delhi,0,1,0.0,0,Closed,2022-05-27,2023-12-12,36-45,<3L,Fair (580-669),Moderate (20-36%),0,0,25.49,0.0,20939.0,2022,2022-05,0,0,3,Medium Risk
113644,24,33700.0,Unemployed,656,16.7,Home Loan,3597000.0,10.64,48,North,Delhi,0,2,1132700.0,0,Active,2021-01-09,2022-09-20,18-25,<3L,Fair (580-669),Low (<20%),0,0,106.74,31.5,92339.0,2021,2021-01,0,0,2,Low Risk
119987,27,70900.0,Salaried,539,29.1,Personal Loan,210000.0,14.81,48,Central,Nagpur,1,0,107200.0,0,Active,2021-12-06,2022-02-12,26-35,<3L,Poor (300-579),Moderate (20-36%),0,0,2.96,51.0,5824.0,2021,2021-12,0,0,6,High Risk
118042,18,45900.0,Salaried,593,33.0,Home Loan,2442000.0,14.47,48,East,Patna,0,2,1456600.0,9,Delinquent,2024-02-29,2024-11-25,18-25,<3L,Fair (580-669),Moderate (20-36%),1,0,53.2,59.6,67308.0,2024,2024-02,0,0,3,Medium Risk
117313,49,52600.0,Salaried,741,37.3,Education Loan,1268000.0,8.1,120,North,Chandigarh,1,0,454800.0,0,Active,2022-03-19,2024-04-25,46-55,<3L,Very Good (740-799),High (36-50%),0,0,24.11,35.9,15451.0,2022,2022-03,0,0,4,Medium Risk
106494,48,34600.0,Salaried,509,23.3,Personal Loan,248000.0,7.7,240,South,Bengaluru,1,1,58700.0,0,Active,2022-11-04,2023-08-14,46-55,<3L,Poor (300-579),Moderate (20-36%),0,0,7.17,23.7,2028.0,2022,2022-11,0,0,6,High Risk
119615,51,46100.0,Salaried,531,56.1,Credit Card,92000.0,7.67,240,East,Patna,0,0,46200.0,0,Active,2024-09-15,2026-08-22,46-55,<3L,Poor (300-579),Very High (>50%),0,0,2.0,50.2,751.0,2024,2024-09,0,0,6,High Risk
